User,Time of Day,Location Type,Transport Mode,Crime Rate,Streetlights,CCTV Presence,Police Presence,Area Risk Level,Escape Route Availability,Safety Plan
User116,Late Night 🌌,Commercial 🏢,Public Transport 🚌,Critical ❌,No lights 🚫,Yes 📷,No Presence ❌,High Risk 🚨,Limited 🔵,📍 Choose the safest route based on CCTV and lighting. Prefer main roads with more people.
User117,Afternoon ☀️,Isolated 🏜️,Metro 🚇,Low ✅,No lights 🚫,No ❌,No Presence ❌,High Risk 🚨,Available 🟢,"🚌 If using public transport late at night, sit near exits. Avoid empty coaches. Trust your instincts in suspicious situations."
User118,Morning 🌅,Isolated 🏜️,Car 🚗,Critical ❌,Well-lit 💡,No ❌,No Presence ❌,Danger Zone ❌,Available 🟢,📍 Choose the safest route based on CCTV and lighting. Prefer main roads with more people.
User119,Night 🌙,Isolated 🏜️,Car 🚗,Critical ❌,No lights 🚫,Yes 📷,Occasional Patrol 👮,Moderate Risk ⚠️,None ❌,"🚷 Stay away from known crime hotspots. If trapped in a dangerous situation, look for exits and call for help."
User120,Late Night 🌌,Residential 🏡,Car 🚗,Low ✅,Well-lit 💡,Yes 📷,No Presence ❌,Safe ✅,Available 🟢,"🌙 If walking at night, use well-lit streets. Carry a self-defense tool. Stay in areas with good visibility."
User121,Late Night 🌌,Slum Area 🚧,Walking 🚶‍♂️,Critical ❌,Well-lit 💡,Yes 📷,No Presence ❌,Moderate Risk ⚠️,Limited 🔵,"🌙 If walking at night, use well-lit streets. Carry a self-defense tool. Stay in areas with good visibility."
User122,Afternoon ☀️,Commercial 🏢,Car 🚗,Low ✅,No lights 🚫,No ❌,Frequent Patrol 🚔,Moderate Risk ⚠️,Available 🟢,"⚠️ If an area feels unsafe, leave immediately. Look confident and walk briskly to a safer spot."
User123,Evening 🌆,Commercial 🏢,Metro 🚇,Critical ❌,Well-lit 💡,Yes 📷,No Presence ❌,High Risk 🚨,Limited 🔵,"🚶 Stay on main roads, avoid shortcuts. Keep your phone charged. Share your location with someone you trust."
User124,Late Night 🌌,Crowded Market 🛍️,Bike 🏍️,Moderate ⚠️,No lights 🚫,No ❌,Frequent Patrol 🚔,Danger Zone ❌,Limited 🔵,📍 Choose the safest route based on CCTV and lighting. Prefer main roads with more people.
User125,Night 🌙,Commercial 🏢,Metro 🚇,Low ✅,Well-lit 💡,Yes 📷,No Presence ❌,High Risk 🚨,Available 🟢,"🌙 If walking at night, use well-lit streets. Carry a self-defense tool. Stay in areas with good visibility."
User126,Night 🌙,Crowded Market 🛍️,Public Transport 🚌,Critical ❌,Well-lit 💡,Yes 📷,Occasional Patrol 👮,Safe ✅,None ❌,"🚔 If you feel unsafe, head towards the nearest police station or crowded place. Avoid using your phone while walking."
User127,Morning 🌅,Isolated 🏜️,Metro 🚇,Moderate ⚠️,No lights 🚫,No ❌,No Presence ❌,Danger Zone ❌,None ❌,"🚶 Stay on main roads, avoid shortcuts. Keep your phone charged. Share your location with someone you trust."
User128,Night 🌙,Commercial 🏢,Public Transport 🚌,Moderate ⚠️,Well-lit 💡,Yes 📷,Occasional Patrol 👮,Safe ✅,None ❌,"🚔 If you feel unsafe, head towards the nearest police station or crowded place. Avoid using your phone while walking."
User129,Night 🌙,Slum Area 🚧,Metro 🚇,Critical ❌,No lights 🚫,Yes 📷,Occasional Patrol 👮,Danger Zone ❌,Limited 🔵,"🚌 If using public transport late at night, sit near exits. Avoid empty coaches. Trust your instincts in suspicious situations."
User130,Night 🌙,Crowded Market 🛍️,Car 🚗,High 🚨,No lights 🚫,Yes 📷,Frequent Patrol 🚔,Moderate Risk ⚠️,None ❌,"⚠️ If an area feels unsafe, leave immediately. Look confident and walk briskly to a safer spot."
User131,Morning 🌅,Residential 🏡,Bike 🏍️,Low ✅,Dimly-lit 🌑,Yes 📷,Frequent Patrol 🚔,Moderate Risk ⚠️,None ❌,"🚷 Stay away from known crime hotspots. If trapped in a dangerous situation, look for exits and call for help."
User132,Late Night 🌌,Crowded Market 🛍️,Walking 🚶‍♂️,Low ✅,Dimly-lit 🌑,No ❌,Frequent Patrol 🚔,High Risk 🚨,None ❌,📞 Always have emergency numbers saved. Avoid engaging with strangers in isolated areas.
User133,Night 🌙,Commercial 🏢,Bike 🏍️,Low ✅,Well-lit 💡,No ❌,Frequent Patrol 🚔,Danger Zone ❌,None ❌,📍 Choose the safest route based on CCTV and lighting. Prefer main roads with more people.
User134,Morning 🌅,Commercial 🏢,Walking 🚶‍♂️,High 🚨,No lights 🚫,No ❌,Frequent Patrol 🚔,High Risk 🚨,Limited 🔵,📞 Always have emergency numbers saved. Avoid engaging with strangers in isolated areas.
User135,Late Night 🌌,Crowded Market 🛍️,Metro 🚇,Critical ❌,Dimly-lit 🌑,Yes 📷,No Presence ❌,Danger Zone ❌,Limited 🔵,"🏡 If heading home late, inform someone about your ETA. Use safety apps to alert close contacts."
User136,Late Night 🌌,Slum Area 🚧,Metro 🚇,Critical ❌,No lights 🚫,No ❌,Occasional Patrol 👮,High Risk 🚨,None ❌,"🚌 If using public transport late at night, sit near exits. Avoid empty coaches. Trust your instincts in suspicious situations."
User137,Afternoon ☀️,Slum Area 🚧,Car 🚗,Critical ❌,Dimly-lit 🌑,No ❌,Frequent Patrol 🚔,Moderate Risk ⚠️,Limited 🔵,"🚷 Stay away from known crime hotspots. If trapped in a dangerous situation, look for exits and call for help."
User138,Morning 🌅,Isolated 🏜️,Public Transport 🚌,High 🚨,Dimly-lit 🌑,No ❌,No Presence ❌,Danger Zone ❌,Available 🟢,"⚠️ If an area feels unsafe, leave immediately. Look confident and walk briskly to a safer spot."
User139,Morning 🌅,Slum Area 🚧,Metro 🚇,Moderate ⚠️,Well-lit 💡,Yes 📷,Frequent Patrol 🚔,Danger Zone ❌,None ❌,📍 Choose the safest route based on CCTV and lighting. Prefer main roads with more people.
User140,Night 🌙,Commercial 🏢,Metro 🚇,Moderate ⚠️,Dimly-lit 🌑,No ❌,Occasional Patrol 👮,Moderate Risk ⚠️,Limited 🔵,"🌙 If walking at night, use well-lit streets. Carry a self-defense tool. Stay in areas with good visibility."
User141,Afternoon ☀️,Crowded Market 🛍️,Metro 🚇,High 🚨,Dimly-lit 🌑,Yes 📷,No Presence ❌,Danger Zone ❌,Limited 🔵,📍 Choose the safest route based on CCTV and lighting. Prefer main roads with more people.
User142,Late Night 🌌,Crowded Market 🛍️,Car 🚗,Moderate ⚠️,Well-lit 💡,Yes 📷,Occasional Patrol 👮,Danger Zone ❌,None ❌,"🚶 Stay on main roads, avoid shortcuts. Keep your phone charged. Share your location with someone you trust."
User143,Evening 🌆,Crowded Market 🛍️,Bike 🏍️,Critical ❌,Well-lit 💡,Yes 📷,Frequent Patrol 🚔,High Risk 🚨,None ❌,"🌙 If walking at night, use well-lit streets. Carry a self-defense tool. Stay in areas with good visibility."
User144,Evening 🌆,Crowded Market 🛍️,Public Transport 🚌,Critical ❌,No lights 🚫,No ❌,Occasional Patrol 👮,High Risk 🚨,Limited 🔵,"🚔 If you feel unsafe, head towards the nearest police station or crowded place. Avoid using your phone while walking."
User145,Evening 🌆,Residential 🏡,Walking 🚶‍♂️,High 🚨,No lights 🚫,No ❌,Frequent Patrol 🚔,High Risk 🚨,None ❌,"🌙 If walking at night, use well-lit streets. Carry a self-defense tool. Stay in areas with good visibility."
User146,Evening 🌆,Crowded Market 🛍️,Metro 🚇,Critical ❌,Dimly-lit 🌑,No ❌,No Presence ❌,High Risk 🚨,Limited 🔵,"🚶 Stay on main roads, avoid shortcuts. Keep your phone charged. Share your location with someone you trust."
User147,Evening 🌆,Crowded Market 🛍️,Car 🚗,Moderate ⚠️,Well-lit 💡,Yes 📷,Occasional Patrol 👮,Danger Zone ❌,Available 🟢,"🚌 If using public transport late at night, sit near exits. Avoid empty coaches. Trust your instincts in suspicious situations."
User148,Evening 🌆,Isolated 🏜️,Car 🚗,Low ✅,No lights 🚫,No ❌,No Presence ❌,Safe ✅,None ❌,📞 Always have emergency numbers saved. Avoid engaging with strangers in isolated areas.
User149,Late Night 🌌,Crowded Market 🛍️,Bike 🏍️,Critical ❌,No lights 🚫,Yes 📷,Occasional Patrol 👮,High Risk 🚨,Available 🟢,"🚶 Stay on main roads, avoid shortcuts. Keep your phone charged. Share your location with someone you trust."
User150,Evening 🌆,Residential 🏡,Bike 🏍️,High 🚨,Dimly-lit 🌑,Yes 📷,Occasional Patrol 👮,Moderate Risk ⚠️,None ❌,📍 Choose the safest route based on CCTV and lighting. Prefer main roads with more people.
User151,Evening 🌆,Crowded Market 🛍️,Car 🚗,Low ✅,No lights 🚫,No ❌,Occasional Patrol 👮,Moderate Risk ⚠️,None ❌,"⚠️ If an area feels unsafe, leave immediately. Look confident and walk briskly to a safer spot."
User152,Late Night 🌌,Commercial 🏢,Car 🚗,High 🚨,Well-lit 💡,Yes 📷,Occasional Patrol 👮,Safe ✅,None ❌,📞 Always have emergency numbers saved. Avoid engaging with strangers in isolated areas.
User153,Morning 🌅,Commercial 🏢,Walking 🚶‍♂️,High 🚨,No lights 🚫,Yes 📷,No Presence ❌,Moderate Risk ⚠️,None ❌,📍 Choose the safest route based on CCTV and lighting. Prefer main roads with more people.
User154,Afternoon ☀️,Isolated 🏜️,Bike 🏍️,Moderate ⚠️,Well-lit 💡,Yes 📷,No Presence ❌,High Risk 🚨,Available 🟢,"🏡 If heading home late, inform someone about your ETA. Use safety apps to alert close contacts."
User155,Evening 🌆,Isolated 🏜️,Walking 🚶‍♂️,Critical ❌,No lights 🚫,No ❌,Frequent Patrol 🚔,Safe ✅,None ❌,"🚨 Avoid isolated areas, keep an emergency contact ready. Travel with a friend if possible. Be aware of your surroundings."
User156,Late Night 🌌,Slum Area 🚧,Metro 🚇,Low ✅,Well-lit 💡,Yes 📷,No Presence ❌,Moderate Risk ⚠️,Available 🟢,"🚌 If using public transport late at night, sit near exits. Avoid empty coaches. Trust your instincts in suspicious situations."
User157,Late Night 🌌,Slum Area 🚧,Car 🚗,Low ✅,Well-lit 💡,Yes 📷,No Presence ❌,Danger Zone ❌,Limited 🔵,"🚔 If you feel unsafe, head towards the nearest police station or crowded place. Avoid using your phone while walking."
User158,Afternoon ☀️,Crowded Market 🛍️,Public Transport 🚌,High 🚨,No lights 🚫,No ❌,Frequent Patrol 🚔,Danger Zone ❌,None ❌,"🚔 If you feel unsafe, head towards the nearest police station or crowded place. Avoid using your phone while walking."
User159,Morning 🌅,Commercial 🏢,Bike 🏍️,Moderate ⚠️,No lights 🚫,No ❌,Occasional Patrol 👮,Safe ✅,Limited 🔵,"🏡 If heading home late, inform someone about your ETA. Use safety apps to alert close contacts."
User160,Late Night 🌌,Commercial 🏢,Walking 🚶‍♂️,Moderate ⚠️,Well-lit 💡,No ❌,No Presence ❌,Danger Zone ❌,Limited 🔵,"🚌 If using public transport late at night, sit near exits. Avoid empty coaches. Trust your instincts in suspicious situations."
User161,Night 🌙,Residential 🏡,Metro 🚇,High 🚨,Well-lit 💡,No ❌,Occasional Patrol 👮,High Risk 🚨,Limited 🔵,📞 Always have emergency numbers saved. Avoid engaging with strangers in isolated areas.
User162,Late Night 🌌,Commercial 🏢,Metro 🚇,High 🚨,Dimly-lit 🌑,Yes 📷,No Presence ❌,Safe ✅,None ❌,"🌙 If walking at night, use well-lit streets. Carry a self-defense tool. Stay in areas with good visibility."
User163,Afternoon ☀️,Residential 🏡,Car 🚗,High 🚨,Well-lit 💡,Yes 📷,Frequent Patrol 🚔,Danger Zone ❌,None ❌,"⚠️ If an area feels unsafe, leave immediately. Look confident and walk briskly to a safer spot."
User164,Late Night 🌌,Residential 🏡,Car 🚗,Critical ❌,Dimly-lit 🌑,No ❌,Frequent Patrol 🚔,Safe ✅,None ❌,"🚔 If you feel unsafe, head towards the nearest police station or crowded place. Avoid using your phone while walking."
User165,Evening 🌆,Slum Area 🚧,Public Transport 🚌,Low ✅,No lights 🚫,Yes 📷,No Presence ❌,Moderate Risk ⚠️,Limited 🔵,"🚶 Stay on main roads, avoid shortcuts. Keep your phone charged. Share your location with someone you trust."
User166,Evening 🌆,Slum Area 🚧,Car 🚗,Moderate ⚠️,Well-lit 💡,No ❌,Frequent Patrol 🚔,High Risk 🚨,Limited 🔵,"🚌 If using public transport late at night, sit near exits. Avoid empty coaches. Trust your instincts in suspicious situations."
User167,Late Night 🌌,Crowded Market 🛍️,Car 🚗,Critical ❌,No lights 🚫,Yes 📷,Occasional Patrol 👮,Safe ✅,None ❌,"🚌 If using public transport late at night, sit near exits. Avoid empty coaches. Trust your instincts in suspicious situations."
User168,Late Night 🌌,Residential 🏡,Metro 🚇,Critical ❌,No lights 🚫,No ❌,Frequent Patrol 🚔,Danger Zone ❌,Available 🟢,"🌙 If walking at night, use well-lit streets. Carry a self-defense tool. Stay in areas with good visibility."
User169,Morning 🌅,Slum Area 🚧,Car 🚗,High 🚨,No lights 🚫,Yes 📷,Frequent Patrol 🚔,High Risk 🚨,Available 🟢,📞 Always have emergency numbers saved. Avoid engaging with strangers in isolated areas.
User170,Afternoon ☀️,Commercial 🏢,Walking 🚶‍♂️,High 🚨,No lights 🚫,No ❌,No Presence ❌,Moderate Risk ⚠️,Limited 🔵,"🚔 If you feel unsafe, head towards the nearest police station or crowded place. Avoid using your phone while walking."
User171,Late Night 🌌,Commercial 🏢,Car 🚗,Critical ❌,No lights 🚫,Yes 📷,Occasional Patrol 👮,High Risk 🚨,Limited 🔵,"🌙 If walking at night, use well-lit streets. Carry a self-defense tool. Stay in areas with good visibility."
User172,Afternoon ☀️,Crowded Market 🛍️,Walking 🚶‍♂️,Low ✅,No lights 🚫,No ❌,No Presence ❌,Danger Zone ❌,None ❌,📍 Choose the safest route based on CCTV and lighting. Prefer main roads with more people.
User173,Late Night 🌌,Crowded Market 🛍️,Public Transport 🚌,High 🚨,No lights 🚫,No ❌,Frequent Patrol 🚔,Safe ✅,Limited 🔵,"🚌 If using public transport late at night, sit near exits. Avoid empty coaches. Trust your instincts in suspicious situations."
User174,Morning 🌅,Slum Area 🚧,Public Transport 🚌,Critical ❌,Well-lit 💡,Yes 📷,Occasional Patrol 👮,Safe ✅,Available 🟢,"🚨 Avoid isolated areas, keep an emergency contact ready. Travel with a friend if possible. Be aware of your surroundings."
User175,Afternoon ☀️,Slum Area 🚧,Bike 🏍️,High 🚨,No lights 🚫,Yes 📷,Frequent Patrol 🚔,High Risk 🚨,Limited 🔵,"🚨 Avoid isolated areas, keep an emergency contact ready. Travel with a friend if possible. Be aware of your surroundings."
User176,Evening 🌆,Commercial 🏢,Car 🚗,Low ✅,Dimly-lit 🌑,No ❌,Frequent Patrol 🚔,Safe ✅,Available 🟢,"🚷 Stay away from known crime hotspots. If trapped in a dangerous situation, look for exits and call for help."
User177,Afternoon ☀️,Residential 🏡,Metro 🚇,High 🚨,No lights 🚫,Yes 📷,Frequent Patrol 🚔,Safe ✅,None ❌,"🚌 If using public transport late at night, sit near exits. Avoid empty coaches. Trust your instincts in suspicious situations."
User178,Late Night 🌌,Commercial 🏢,Car 🚗,Low ✅,No lights 🚫,Yes 📷,Frequent Patrol 🚔,Danger Zone ❌,Available 🟢,"🚶 Stay on main roads, avoid shortcuts. Keep your phone charged. Share your location with someone you trust."
User179,Morning 🌅,Residential 🏡,Car 🚗,Moderate ⚠️,Well-lit 💡,No ❌,No Presence ❌,High Risk 🚨,None ❌,📞 Always have emergency numbers saved. Avoid engaging with strangers in isolated areas.
User180,Evening 🌆,Commercial 🏢,Car 🚗,Moderate ⚠️,Dimly-lit 🌑,No ❌,Frequent Patrol 🚔,Danger Zone ❌,None ❌,📞 Always have emergency numbers saved. Avoid engaging with strangers in isolated areas.
User181,Late Night 🌌,Isolated 🏜️,Bike 🏍️,Low ✅,Well-lit 💡,No ❌,Frequent Patrol 🚔,Safe ✅,None ❌,"🚶 Stay on main roads, avoid shortcuts. Keep your phone charged. Share your location with someone you trust."
User182,Evening 🌆,Residential 🏡,Bike 🏍️,Critical ❌,Well-lit 💡,Yes 📷,No Presence ❌,Danger Zone ❌,None ❌,📍 Choose the safest route based on CCTV and lighting. Prefer main roads with more people.
User183,Afternoon ☀️,Slum Area 🚧,Bike 🏍️,Low ✅,Well-lit 💡,Yes 📷,Frequent Patrol 🚔,Moderate Risk ⚠️,Available 🟢,"🚌 If using public transport late at night, sit near exits. Avoid empty coaches. Trust your instincts in suspicious situations."
User184,Afternoon ☀️,Crowded Market 🛍️,Walking 🚶‍♂️,High 🚨,Dimly-lit 🌑,No ❌,Frequent Patrol 🚔,Moderate Risk ⚠️,Limited 🔵,"🚔 If you feel unsafe, head towards the nearest police station or crowded place. Avoid using your phone while walking."
User185,Afternoon ☀️,Slum Area 🚧,Car 🚗,Moderate ⚠️,Well-lit 💡,Yes 📷,Occasional Patrol 👮,Danger Zone ❌,None ❌,📞 Always have emergency numbers saved. Avoid engaging with strangers in isolated areas.
User186,Night 🌙,Isolated 🏜️,Bike 🏍️,Low ✅,Dimly-lit 🌑,Yes 📷,No Presence ❌,Moderate Risk ⚠️,None ❌,"🏡 If heading home late, inform someone about your ETA. Use safety apps to alert close contacts."
User187,Evening 🌆,Isolated 🏜️,Metro 🚇,Moderate ⚠️,Well-lit 💡,Yes 📷,Frequent Patrol 🚔,Danger Zone ❌,None ❌,"🚨 Avoid isolated areas, keep an emergency contact ready. Travel with a friend if possible. Be aware of your surroundings."
User188,Late Night 🌌,Commercial 🏢,Public Transport 🚌,Moderate ⚠️,No lights 🚫,No ❌,Occasional Patrol 👮,Danger Zone ❌,None ❌,"🚌 If using public transport late at night, sit near exits. Avoid empty coaches. Trust your instincts in suspicious situations."
User189,Evening 🌆,Commercial 🏢,Metro 🚇,Critical ❌,No lights 🚫,Yes 📷,Frequent Patrol 🚔,Danger Zone ❌,None ❌,"🚷 Stay away from known crime hotspots. If trapped in a dangerous situation, look for exits and call for help."
User190,Evening 🌆,Crowded Market 🛍️,Public Transport 🚌,Moderate ⚠️,No lights 🚫,Yes 📷,Occasional Patrol 👮,Danger Zone ❌,Available 🟢,"🌙 If walking at night, use well-lit streets. Carry a self-defense tool. Stay in areas with good visibility."
User191,Late Night 🌌,Crowded Market 🛍️,Walking 🚶‍♂️,Moderate ⚠️,Dimly-lit 🌑,No ❌,No Presence ❌,Danger Zone ❌,None ❌,"⚠️ If an area feels unsafe, leave immediately. Look confident and walk briskly to a safer spot."
User192,Evening 🌆,Residential 🏡,Public Transport 🚌,Moderate ⚠️,Well-lit 💡,No ❌,Occasional Patrol 👮,High Risk 🚨,Limited 🔵,"🚷 Stay away from known crime hotspots. If trapped in a dangerous situation, look for exits and call for help."
User193,Night 🌙,Slum Area 🚧,Car 🚗,Critical ❌,No lights 🚫,Yes 📷,Frequent Patrol 🚔,High Risk 🚨,Available 🟢,"🚨 Avoid isolated areas, keep an emergency contact ready. Travel with a friend if possible. Be aware of your surroundings."
User194,Morning 🌅,Crowded Market 🛍️,Car 🚗,Critical ❌,Dimly-lit 🌑,Yes 📷,Frequent Patrol 🚔,Danger Zone ❌,Available 🟢,"🚨 Avoid isolated areas, keep an emergency contact ready. Travel with a friend if possible. Be aware of your surroundings."
User195,Late Night 🌌,Crowded Market 🛍️,Car 🚗,Low ✅,Dimly-lit 🌑,Yes 📷,No Presence ❌,High Risk 🚨,Available 🟢,"🚨 Avoid isolated areas, keep an emergency contact ready. Travel with a friend if possible. Be aware of your surroundings."
User196,Morning 🌅,Residential 🏡,Metro 🚇,Critical ❌,Dimly-lit 🌑,No ❌,Occasional Patrol 👮,High Risk 🚨,None ❌,"⚠️ If an area feels unsafe, leave immediately. Look confident and walk briskly to a safer spot."
User197,Morning 🌅,Slum Area 🚧,Metro 🚇,Critical ❌,Dimly-lit 🌑,Yes 📷,No Presence ❌,High Risk 🚨,None ❌,"🚨 Avoid isolated areas, keep an emergency contact ready. Travel with a friend if possible. Be aware of your surroundings."
User198,Afternoon ☀️,Crowded Market 🛍️,Car 🚗,Critical ❌,Dimly-lit 🌑,No ❌,No Presence ❌,Moderate Risk ⚠️,None ❌,"🏡 If heading home late, inform someone about your ETA. Use safety apps to alert close contacts."
User199,Afternoon ☀️,Slum Area 🚧,Car 🚗,Low ✅,No lights 🚫,Yes 📷,Occasional Patrol 👮,Moderate Risk ⚠️,Limited 🔵,"🏡 If heading home late, inform someone about your ETA. Use safety apps to alert close contacts."
User200,Afternoon ☀️,Commercial 🏢,Car 🚗,Critical ❌,Well-lit 💡,Yes 📷,No Presence ❌,Moderate Risk ⚠️,None ❌,📞 Always have emergency numbers saved. Avoid engaging with strangers in isolated areas.
User201,Afternoon ☀️,Isolated 🏜️,Public Transport 🚌,Critical ❌,Well-lit 💡,No ❌,Occasional Patrol 👮,High Risk 🚨,Limited 🔵,"🚶 Stay on main roads, avoid shortcuts. Keep your phone charged. Share your location with someone you trust."
User202,Morning 🌅,Slum Area 🚧,Bike 🏍️,Critical ❌,Well-lit 💡,No ❌,Frequent Patrol 🚔,High Risk 🚨,Limited 🔵,"🚨 Avoid isolated areas, keep an emergency contact ready. Travel with a friend if possible. Be aware of your surroundings."
User203,Late Night 🌌,Isolated 🏜️,Car 🚗,Moderate ⚠️,Well-lit 💡,No ❌,Occasional Patrol 👮,Safe ✅,None ❌,"⚠️ If an area feels unsafe, leave immediately. Look confident and walk briskly to a safer spot."
User204,Afternoon ☀️,Isolated 🏜️,Walking 🚶‍♂️,Low ✅,No lights 🚫,Yes 📷,Frequent Patrol 🚔,Moderate Risk ⚠️,None ❌,"🚔 If you feel unsafe, head towards the nearest police station or crowded place. Avoid using your phone while walking."
User205,Late Night 🌌,Slum Area 🚧,Bike 🏍️,Low ✅,No lights 🚫,Yes 📷,Frequent Patrol 🚔,Danger Zone ❌,None ❌,📍 Choose the safest route based on CCTV and lighting. Prefer main roads with more people.
User206,Evening 🌆,Isolated 🏜️,Bike 🏍️,High 🚨,No lights 🚫,Yes 📷,Occasional Patrol 👮,Safe ✅,Limited 🔵,"🚷 Stay away from known crime hotspots. If trapped in a dangerous situation, look for exits and call for help."
User207,Afternoon ☀️,Crowded Market 🛍️,Bike 🏍️,High 🚨,No lights 🚫,Yes 📷,Frequent Patrol 🚔,High Risk 🚨,Available 🟢,"🏡 If heading home late, inform someone about your ETA. Use safety apps to alert close contacts."
User208,Afternoon ☀️,Crowded Market 🛍️,Car 🚗,Moderate ⚠️,No lights 🚫,Yes 📷,Frequent Patrol 🚔,High Risk 🚨,Limited 🔵,"🚔 If you feel unsafe, head towards the nearest police station or crowded place. Avoid using your phone while walking."
User209,Afternoon ☀️,Commercial 🏢,Public Transport 🚌,Low ✅,Well-lit 💡,No ❌,Frequent Patrol 🚔,Moderate Risk ⚠️,None ❌,📞 Always have emergency numbers saved. Avoid engaging with strangers in isolated areas.
User210,Night 🌙,Slum Area 🚧,Public Transport 🚌,High 🚨,No lights 🚫,No ❌,Frequent Patrol 🚔,Danger Zone ❌,Available 🟢,📞 Always have emergency numbers saved. Avoid engaging with strangers in isolated areas.
User211,Late Night 🌌,Commercial 🏢,Public Transport 🚌,Moderate ⚠️,No lights 🚫,Yes 📷,No Presence ❌,High Risk 🚨,Available 🟢,📞 Always have emergency numbers saved. Avoid engaging with strangers in isolated areas.
User212,Night 🌙,Residential 🏡,Metro 🚇,Critical ❌,Well-lit 💡,No ❌,Frequent Patrol 🚔,High Risk 🚨,Limited 🔵,"⚠️ If an area feels unsafe, leave immediately. Look confident and walk briskly to a safer spot."
User213,Night 🌙,Crowded Market 🛍️,Bike 🏍️,High 🚨,No lights 🚫,Yes 📷,No Presence ❌,Safe ✅,Available 🟢,"🚶 Stay on main roads, avoid shortcuts. Keep your phone charged. Share your location with someone you trust."
User214,Morning 🌅,Commercial 🏢,Bike 🏍️,Moderate ⚠️,No lights 🚫,Yes 📷,Frequent Patrol 🚔,High Risk 🚨,Limited 🔵,"🚷 Stay away from known crime hotspots. If trapped in a dangerous situation, look for exits and call for help."
User215,Night 🌙,Commercial 🏢,Bike 🏍️,Moderate ⚠️,Dimly-lit 🌑,No ❌,Occasional Patrol 👮,Danger Zone ❌,Limited 🔵,"🚷 Stay away from known crime hotspots. If trapped in a dangerous situation, look for exits and call for help."
User216,Evening 🌆,Commercial 🏢,Bike 🏍️,High 🚨,Dimly-lit 🌑,No ❌,Occasional Patrol 👮,Danger Zone ❌,None ❌,"🚶 Stay on main roads, avoid shortcuts. Keep your phone charged. Share your location with someone you trust."
User217,Morning 🌅,Slum Area 🚧,Car 🚗,Low ✅,No lights 🚫,No ❌,Occasional Patrol 👮,Danger Zone ❌,None ❌,📍 Choose the safest route based on CCTV and lighting. Prefer main roads with more people.
User218,Afternoon ☀️,Residential 🏡,Bike 🏍️,Critical ❌,Dimly-lit 🌑,No ❌,Frequent Patrol 🚔,Danger Zone ❌,None ❌,"🚌 If using public transport late at night, sit near exits. Avoid empty coaches. Trust your instincts in suspicious situations."
User219,Late Night 🌌,Isolated 🏜️,Bike 🏍️,Critical ❌,No lights 🚫,Yes 📷,No Presence ❌,Safe ✅,Available 🟢,"🌙 If walking at night, use well-lit streets. Carry a self-defense tool. Stay in areas with good visibility."
User220,Late Night 🌌,Isolated 🏜️,Metro 🚇,Low ✅,Dimly-lit 🌑,No ❌,No Presence ❌,High Risk 🚨,None ❌,"🚌 If using public transport late at night, sit near exits. Avoid empty coaches. Trust your instincts in suspicious situations."
User221,Night 🌙,Crowded Market 🛍️,Public Transport 🚌,Moderate ⚠️,No lights 🚫,No ❌,Frequent Patrol 🚔,Safe ✅,None ❌,📞 Always have emergency numbers saved. Avoid engaging with strangers in isolated areas.
User222,Afternoon ☀️,Residential 🏡,Metro 🚇,Low ✅,Well-lit 💡,Yes 📷,No Presence ❌,High Risk 🚨,Available 🟢,"🌙 If walking at night, use well-lit streets. Carry a self-defense tool. Stay in areas with good visibility."
User223,Late Night 🌌,Crowded Market 🛍️,Public Transport 🚌,Critical ❌,No lights 🚫,Yes 📷,No Presence ❌,Danger Zone ❌,None ❌,"⚠️ If an area feels unsafe, leave immediately. Look confident and walk briskly to a safer spot."
User224,Late Night 🌌,Isolated 🏜️,Public Transport 🚌,Critical ❌,No lights 🚫,No ❌,No Presence ❌,Safe ✅,None ❌,📞 Always have emergency numbers saved. Avoid engaging with strangers in isolated areas.
User225,Afternoon ☀️,Commercial 🏢,Public Transport 🚌,Low ✅,Well-lit 💡,Yes 📷,No Presence ❌,Moderate Risk ⚠️,None ❌,"🚨 Avoid isolated areas, keep an emergency contact ready. Travel with a friend if possible. Be aware of your surroundings."
User226,Afternoon ☀️,Crowded Market 🛍️,Metro 🚇,Moderate ⚠️,Well-lit 💡,No ❌,Frequent Patrol 🚔,Moderate Risk ⚠️,Available 🟢,📞 Always have emergency numbers saved. Avoid engaging with strangers in isolated areas.
User227,Morning 🌅,Isolated 🏜️,Public Transport 🚌,Critical ❌,Dimly-lit 🌑,No ❌,Occasional Patrol 👮,Moderate Risk ⚠️,None ❌,📍 Choose the safest route based on CCTV and lighting. Prefer main roads with more people.
User228,Late Night 🌌,Crowded Market 🛍️,Public Transport 🚌,Moderate ⚠️,Dimly-lit 🌑,No ❌,Frequent Patrol 🚔,Safe ✅,Limited 🔵,"🚷 Stay away from known crime hotspots. If trapped in a dangerous situation, look for exits and call for help."
User229,Afternoon ☀️,Isolated 🏜️,Metro 🚇,High 🚨,Well-lit 💡,No ❌,Frequent Patrol 🚔,Moderate Risk ⚠️,Limited 🔵,📍 Choose the safest route based on CCTV and lighting. Prefer main roads with more people.
User230,Night 🌙,Commercial 🏢,Metro 🚇,High 🚨,Dimly-lit 🌑,No ❌,No Presence ❌,High Risk 🚨,Limited 🔵,"⚠️ If an area feels unsafe, leave immediately. Look confident and walk briskly to a safer spot."
