Area Name,Latitude,Longitude,Streetlights,CCTV Presence,Police Stations Nearby (km),Slum Area,Road Condition Score,Crime Reports Count,Crime Types,Pedestrian Friendly,Traffic Density,Emergency Services Nearby (km),Distance from Borivali (km),Travel Time to Borivali (min),Connected Areas
Chikuwadi,19.258357240040887,72.85409789030882,No,Yes,2.3,No,4,50,Vandalism,Yes,High,1.7,3.09,6.9,
Sunshine Hills,19.26623747534188,72.84883673271348,No,No,0.9,No,1,26,Theft,Yes,Medium,0.2,4.04,9.1,
Gorai,19.266683113253144,72.87995281721352,Yes,No,2.0,No,2,6,None,No,Medium,1.8,4.71,12.4,
River Side,19.236890229048036,72.87603231281642,No,No,2.1,No,4,23,None,No,Medium,0.8,2.18,6.3,
Silver Oaks,19.26282395793378,72.84699318464665,Yes,Yes,1.2,Yes,5,41,Accident,Yes,Medium,1.0,3.71,8.5,
Baker Nagar,19.240754054685592,72.84136748548036,Yes,No,0.6,Yes,2,12,Vandalism,No,High,0.6,1.95,6.6,
Giles Nagar,19.25785113558621,72.87533961178353,Yes,Yes,0.3,Yes,4,34,None,No,Low,2.0,3.62,9.7,
Eksar,19.24122335114735,72.86587868883693,No,Yes,1.3,Yes,1,40,Vandalism,Yes,High,0.2,1.55,5.9,"Borivali Station West, Mandapeshwar, IC Colony"
Shimpoli,19.23605644652914,72.86256224599393,Yes,Yes,1.9,No,2,24,Theft,No,High,1.4,0.89,4.0,"Borivali Station West, Mandapeshwar, IC Colony"
Ritter Nagar,19.23536342383977,72.86048773700512,No,Yes,2.1,No,2,45,Theft,Yes,Medium,1.9,0.69,3.6,
Green Valley,19.25563524704191,72.8659697666238,No,No,0.3,Yes,4,39,Burglary,Yes,High,1.8,2.96,7.4,
Eksar,19.246164679762945,72.85940582335445,No,Yes,1.5,No,2,42,Accident,No,Medium,1.3,1.76,6.1,"Borivali Station West, Mandapeshwar, IC Colony"
Ritter Nagar,19.23005529264992,72.87821710186226,Yes,Yes,0.8,No,1,37,Burglary,No,Medium,0.9,2.29,7.3,
Shimpoli,19.26912787750136,72.85689939763753,Yes,Yes,1.6,Yes,1,48,Theft,Yes,High,0.9,4.28,10.4,"Borivali Station West, Mandapeshwar, IC Colony"
Sunder Nagar,19.252135839833866,72.86861244794927,Yes,Yes,0.2,Yes,4,28,Accident,Yes,Low,1.6,2.72,8.3,
Lindsey Nagar,19.253520091312417,72.85826551984151,Yes,No,2.7,Yes,5,18,None,No,Low,1.4,2.56,7.6,
Dahanukar Wadi,19.2570508868304,72.86293527204383,Yes,No,0.4,Yes,3,9,Theft,No,High,0.7,3.02,6.2,
Mountain View,19.25558874590596,72.87893758674485,No,Yes,1.0,Yes,2,32,Burglary,No,High,0.3,3.65,8.9,
Dattapada,19.257674642321213,72.86359714958067,No,Yes,2.2,No,3,47,Theft,No,Low,0.9,3.1,8.9,
Eksar,19.256624020321848,72.85325973757341,No,Yes,2.1,No,5,11,Burglary,No,Low,1.9,2.91,6.4,"Borivali Station West, Mandapeshwar, IC Colony"
Palm Grove,19.252815185899134,72.85874548814486,Yes,No,2.3,No,5,45,Accident,Yes,Medium,0.3,2.48,6.8,
Sunder Nagar,19.23498506713081,72.87524267307623,Yes,Yes,2.5,No,5,13,Vandalism,Yes,Medium,1.3,2.04,6.3,
Dattapada,19.2320035177195,72.85966016752892,Yes,No,2.8,Yes,5,2,None,No,Medium,1.0,0.38,1.8,
Dattapada,19.231786989536676,72.86523064479782,Yes,Yes,1.8,No,1,46,Vandalism,No,High,1.2,0.94,4.6,
Padilla Nagar,19.23157858640656,72.86229271750665,No,No,2.3,Yes,2,5,Chain Snatching,Yes,High,0.2,0.63,1.7,
Ward Nagar,19.264508449822355,72.86859121989879,Yes,Yes,2.8,Yes,2,30,Theft,No,Low,0.3,3.98,10.9,
Dahanukar Wadi,19.233806523272072,72.86482682681957,No,Yes,0.1,No,3,36,Vandalism,No,Medium,0.6,0.96,3.3,
Campbell Nagar,19.257307509586884,72.84424617355373,Yes,No,1.0,Yes,4,23,None,Yes,High,1.2,3.23,7.1,
Peaceful Valley,19.23148417130606,72.86241346554115,Yes,No,0.3,Yes,2,25,Chain Snatching,Yes,Low,1.8,0.64,3.1,
Gorai,19.242908403695765,72.85456104912501,No,No,0.2,No,5,9,None,No,Medium,1.5,1.39,3.6,
Solis Nagar,19.25650073722741,72.87050277781024,No,No,0.6,Yes,4,16,Accident,No,Low,0.5,3.24,8.0,
SFIT (Direct Route),19.236964408622946,72.87765169134852,Yes,Yes,3.0,Yes,4,19,Theft,No,High,0.8,2.35,5.0,
Dattapada,19.24508691408578,72.84350708755736,No,Yes,2.2,Yes,5,46,Theft,No,Medium,1.0,2.11,6.2,
Simmons Nagar,19.259877153950843,72.87066569534088,No,Yes,1.5,No,4,50,Vandalism,Yes,High,0.3,3.58,9.2,
Western Heights,19.24975693546611,72.84751756477057,No,Yes,2.4,No,5,7,Burglary,No,High,1.1,2.33,5.0,
Dattapada,19.230924482778715,72.8595386469933,No,Yes,0.2,Yes,4,14,Theft,No,Low,1.6,0.33,3.0,
Frye Nagar,19.244072938574885,72.86963037898023,No,Yes,1.3,Yes,4,41,None,No,Medium,2.0,2.05,6.5,
Long Nagar,19.24252127853664,72.8775855925254,No,No,0.5,Yes,4,45,Accident,No,Medium,1.0,2.59,8.1,
SFIT (Via Pai Nagar),19.255170462188616,72.87016456895653,Yes,Yes,1.5,Yes,1,11,Burglary,Yes,Low,0.1,3.09,8.5,
Campbell Nagar,19.252911645428867,72.86356557269286,No,Yes,2.1,Yes,1,36,Theft,No,High,0.9,2.59,7.0,
Sunder Nagar,19.2490235270864,72.86104651846566,Yes,No,2.6,No,2,1,Chain Snatching,Yes,Low,1.2,2.11,4.4,
Anand Nagar,19.244340516480708,72.8726138774047,Yes,No,1.5,Yes,4,6,Theft,No,High,1.1,2.29,7.1,
Royal Palms,19.26952550881588,72.87532484084238,Yes,Yes,2.9,No,1,33,Burglary,No,Medium,0.6,4.76,11.3,
Ellis Nagar,19.253567087920217,72.84297493938175,No,No,0.1,Yes,2,27,Burglary,Yes,High,1.6,2.92,8.7,
SFIT (Via Eksar Metro),19.24928632777016,72.86374067815937,No,Yes,0.5,No,4,39,Burglary,Yes,High,1.6,2.22,7.4,
Green Woods,19.24825740705235,72.87413862655849,No,Yes,2.6,No,3,21,Vandalism,No,Medium,0.9,2.71,5.8,
Campbell Nagar,19.256104025393583,72.84766443482549,Yes,No,1.0,No,5,28,None,No,Low,0.7,2.98,6.6,
Solis Nagar,19.260319435381177,72.84079195956838,No,Yes,2.0,Yes,4,8,Burglary,Yes,Medium,0.3,3.69,9.6,
Dahanukar Wadi,19.240427784832335,72.8445291612888,Yes,No,0.5,No,4,24,Chain Snatching,No,High,0.3,1.66,4.5,
Gorai,19.26790092381877,72.8688734630101,Yes,No,0.9,No,3,17,None,Yes,High,1.8,4.34,9.6,
Mandapeshwar,19.230268207137964,72.8628107694691,Yes,No,0.9,No,2,20,Chain Snatching,Yes,Medium,0.9,0.67,2.9,"Eksar, IC Colony, Shimpoli"
SFIT (Direct Route),19.256291328639044,72.84577156786912,No,No,1.4,Yes,2,2,None,Yes,Medium,1.1,3.07,7.1,
Shivdham,19.258921489987756,72.84794055996869,Yes,No,2.9,Yes,5,29,None,No,Medium,0.6,3.27,7.6,
SFIT (Via Eksar Metro),19.252927172885844,72.84235731653438,No,Yes,1.1,Yes,1,50,None,No,Medium,0.2,2.89,6.1,
Dattapada,19.26747661371648,72.86683418248317,Yes,Yes,1.0,Yes,4,15,Burglary,No,Medium,1.8,4.24,10.9,
Golden Nest,19.24107149314489,72.87021332383488,No,No,3.0,Yes,4,5,Burglary,No,High,0.4,1.87,5.4,
Eksar,19.265132740828378,72.84532699127065,No,Yes,1.2,Yes,3,19,Accident,No,High,0.2,4.01,11.0,"Borivali Station West, Mandapeshwar, IC Colony"
River Side,19.26128985735284,72.84190129685942,Yes,Yes,1.2,No,4,18,Theft,No,High,0.5,3.73,9.2,
Patterson Nagar,19.24031579181026,72.85085752974463,Yes,Yes,2.0,No,3,35,None,Yes,Medium,0.5,1.23,4.5,
Johnson Nagar,19.24501605003984,72.84563414917508,Yes,Yes,2.3,Yes,1,11,None,Yes,Medium,1.1,1.97,5.5,
Green Woods,19.248114005989702,72.87846953671023,No,Yes,2.0,No,2,38,Vandalism,Yes,Medium,1.4,3.03,8.7,
Kandarpada,19.26741934985984,72.86047074160672,No,Yes,1.0,No,4,9,None,No,Low,0.3,4.11,10.2,"Borivali Station West, Dahisar Check Naka"
Smith Nagar,19.26951522687135,72.87608606066668,Yes,Yes,0.5,No,5,8,Vandalism,Yes,Low,0.5,4.79,10.4,
Frye Nagar,19.238296597918357,72.87835416533476,Yes,No,1.0,Yes,2,19,Accident,Yes,Medium,1.0,2.46,7.1,
Lake View,19.258165173733424,72.86984639672194,Yes,No,0.4,No,5,5,Theft,No,High,0.8,3.37,7.2,
Anand Nagar,19.265221217000025,72.85242080474528,Yes,Yes,0.2,No,1,7,Vandalism,Yes,Low,0.3,3.87,8.4,
Simmons Nagar,19.254962038628868,72.84096909831185,Yes,Yes,1.3,No,1,22,Theft,Yes,High,1.5,3.16,6.9,
Smith Nagar,19.233872039281856,72.87182657075067,No,No,0.2,Yes,4,42,Vandalism,Yes,Low,1.4,1.66,3.4,
Silver Oaks,19.238111647018236,72.8458023314865,No,No,0.7,No,3,46,Burglary,Yes,Low,1.1,1.4,3.1,
Dahisar Check Naka,19.25966720742972,72.87589858599489,No,No,0.2,Yes,4,19,Vandalism,Yes,Low,1.9,3.82,8.8,
Padilla Nagar,19.249974933405653,72.86186798309481,Yes,Yes,2.9,No,3,5,Accident,No,Medium,0.5,2.23,6.4,
Chikuwadi,19.248461177777987,72.87096634701767,No,Yes,2.1,No,5,38,Accident,No,Low,0.6,2.51,7.9,
Lake View,19.238719178054925,72.84197596534415,No,Yes,2.3,Yes,1,10,Burglary,No,Low,1.3,1.77,4.4,
Silver Oaks,19.266347722307614,72.8699262272039,No,No,1.4,No,3,12,Chain Snatching,Yes,Medium,1.1,4.22,10.6,
Simmons Nagar,19.2334598095102,72.84894090244784,No,No,0.6,No,1,2,Burglary,Yes,High,1.1,0.85,3.4,
Palm Grove,19.26495180389224,72.85286578682444,Yes,Yes,2.2,Yes,5,40,Accident,Yes,Low,1.8,3.83,9.3,
Shivdham,19.23377186767957,72.84811758127842,No,No,2.1,Yes,4,13,Vandalism,Yes,Low,1.8,0.94,4.3,
Campbell Nagar,19.24444906935293,72.84539435256468,Yes,Yes,2.2,Yes,2,2,Vandalism,Yes,Medium,0.9,1.93,5.3,
Johnston Nagar,19.23568804584814,72.85901301750052,Yes,Yes,0.1,No,3,19,Chain Snatching,Yes,High,1.1,0.64,2.5,
Eksar,19.25270217615757,72.86533643699055,No,Yes,2.7,No,1,21,Accident,Yes,High,0.8,2.63,7.6,"Borivali Station West, Mandapeshwar, IC Colony"
SFIT (Direct Route),19.25067798066288,72.8555127644503,No,Yes,2.7,Yes,2,12,Chain Snatching,Yes,Medium,1.9,2.24,5.9,
Mandapeshwar,19.252378431087227,72.85570051331284,Yes,Yes,1.1,Yes,4,8,Accident,Yes,High,1.7,2.42,6.7,"Eksar, IC Colony, Shimpoli"
Green Woods,19.26998139640961,72.87722209563306,No,No,3.0,Yes,4,31,Theft,No,High,0.4,4.89,10.6,
Lindsey Nagar,19.233041108430086,72.86879522189074,Yes,Yes,2.9,No,5,3,Theft,No,High,0.7,1.33,5.5,
Green Acres,19.244442924820707,72.86613902129302,No,No,1.8,Yes,3,16,Theft,No,High,0.7,1.85,6.6,
Solis Nagar,19.234984046469048,72.87816880931419,Yes,No,1.2,No,5,25,Theft,No,High,1.1,2.34,6.7,
Palm Grove,19.255082842459,72.87754398130711,Yes,Yes,1.8,Yes,2,30,Chain Snatching,Yes,Low,1.7,3.51,8.5,
Anand Nagar,19.25924783231465,72.8748751127359,Yes,No,2.9,No,5,25,None,No,Medium,0.6,3.73,9.6,
Richard Nagar,19.24314536330149,72.85125494854205,Yes,No,0.2,Yes,1,12,Chain Snatching,No,Low,1.0,1.5,5.2,
Anand Nagar,19.26531351771724,72.86582134140535,No,Yes,1.9,Yes,2,1,Accident,No,High,0.5,3.98,8.3,
Palm Grove,19.256518488638637,72.86617647258537,No,Yes,2.0,No,1,50,Vandalism,No,High,2.0,3.06,9.0,
Ward Nagar,19.233270466932417,72.87340245447373,No,No,2.0,Yes,2,44,Theft,Yes,Low,1.8,1.81,4.5,
Richard Nagar,19.263933031684797,72.84645978216246,Yes,Yes,1.3,Yes,3,5,Chain Snatching,Yes,Medium,1.2,3.85,8.1,
Shailendra Nagar,19.241234858030506,72.8505189194761,No,No,1.2,No,2,4,Accident,No,Low,1.7,1.34,4.7,
Lindsey Nagar,19.25319163930233,72.85981598469438,No,No,2.9,No,5,41,Theft,Yes,High,0.9,2.54,5.8,
Dahanukar Wadi,19.267347193525698,72.87334154902877,No,Yes,1.7,Yes,1,3,Theft,No,Medium,0.9,4.45,10.6,
Anand Nagar,19.230921532173465,72.86505735339597,Yes,No,2.9,No,2,49,None,No,High,2.0,0.91,3.4,
Patterson Nagar,19.25104202818045,72.86535219464697,No,No,0.4,No,5,4,None,Yes,High,0.3,2.46,5.3,
IC Colony,19.25452181373097,72.85154558851697,Yes,Yes,1.0,Yes,5,7,Theft,No,High,0.6,2.71,7.7,"Eksar, Mandapeshwar, Shimpoli"
Western Heights,19.250208425684576,72.87459426933168,No,No,2.0,Yes,4,31,None,No,High,0.2,2.9,7.4,
Sunder Nagar,19.252516197287832,72.86807425468189,No,No,2.8,Yes,1,19,Vandalism,No,High,0.1,2.73,7.8,
Mandapeshwar,19.231618335346425,72.87576268935763,Yes,No,2.0,Yes,4,38,Accident,Yes,Low,1.5,2.04,6.5,"Eksar, IC Colony, Shimpoli"
SFIT (Direct Route),19.255982503276385,72.84099366246514,No,No,2.4,No,3,18,Chain Snatching,Yes,Low,0.9,3.25,6.7,
Royal Palms,19.23147296817557,72.84137021799162,Yes,No,1.4,Yes,4,34,Accident,No,High,0.2,1.58,4.1,
Gorai,19.25274490957636,72.84166740043563,No,No,2.3,Yes,4,34,Theft,No,Medium,1.4,2.91,7.6,
Giles Nagar,19.244988085196,72.84399087855383,Yes,No,1.7,No,5,49,Chain Snatching,Yes,Medium,0.4,2.07,4.4,
SFIT (Direct Route),19.255960144237243,72.86918900101179,No,Yes,1.5,No,1,0,None,No,Medium,1.9,3.12,7.9,
IC Colony,19.247350022238244,72.87267047284276,No,Yes,2.1,Yes,4,3,Burglary,No,Medium,0.6,2.53,6.6,"Eksar, Mandapeshwar, Shimpoli"
Padilla Nagar,19.231955365142,72.86115518519861,No,Yes,1.7,Yes,1,38,Chain Snatching,Yes,Low,1.4,0.53,1.3,
River Side,19.236204102303653,72.84975063185095,Yes,Yes,2.5,No,5,41,Accident,No,Low,0.2,0.94,3.8,
Solis Nagar,19.25151661780723,72.85530603402792,Yes,Yes,0.9,Yes,3,26,None,Yes,High,1.8,2.33,4.8,
Royal Palms,19.265856569356785,72.86994397134117,Yes,No,3.0,No,3,8,Accident,Yes,Low,1.6,4.16,8.7,
Green Acres,19.232482487957235,72.87913822502657,Yes,Yes,3.0,Yes,1,29,Theft,Yes,High,1.6,2.4,7.4,
Shailendra Nagar,19.26666329092921,72.8516430938239,No,No,0.9,No,2,11,Chain Snatching,No,Medium,1.2,4.03,8.8,
Giles Nagar,19.240573713389832,72.853498450217,No,Yes,1.6,No,5,36,Accident,Yes,Medium,0.9,1.16,5.3,
Golden Nest,19.250093249481747,72.87361581818126,Yes,Yes,2.6,Yes,2,46,Burglary,Yes,Low,1.8,2.82,6.8,
Dahanukar Wadi,19.24046725927509,72.84550770270013,No,Yes,2.5,No,5,33,Theft,Yes,Low,0.4,1.59,5.4,
Royal Palms,19.240918762786155,72.84059893225853,No,No,2.5,No,2,1,Burglary,No,High,1.6,2.02,6.0,
Dahanukar Wadi,19.233496308907487,72.853860281635,Yes,Yes,0.9,No,5,8,None,Yes,High,1.9,0.43,3.3,
Western Heights,19.267308839444265,72.8424789308455,Yes,No,2.5,No,4,33,Accident,Yes,Low,0.1,4.33,11.1,
Solis Nagar,19.260977914257687,72.86311211977444,Yes,No,2.5,No,3,1,Theft,No,High,1.4,3.45,7.2,
Dahanukar Wadi,19.25033684532142,72.87247817986247,Yes,Yes,2.9,No,2,18,None,Yes,High,1.0,2.77,6.4,
Patterson Nagar,19.25548176214068,72.86842954388653,No,Yes,1.0,No,2,19,Burglary,Yes,Low,1.3,3.04,8.5,
Dahanukar Wadi,19.24237901383341,72.84750635199802,Yes,Yes,2.5,Yes,2,34,Burglary,No,Medium,1.6,1.61,3.3,
Ritter Nagar,19.23809930503784,72.8645457683097,Yes,No,0.7,No,1,14,Burglary,No,Medium,0.3,1.2,4.1,
Ritter Nagar,19.253228521710103,72.86283584535103,No,Yes,2.3,No,3,50,Burglary,No,High,0.9,2.61,7.8,
Dahisar Check Naka,19.230871602018304,72.85177578647505,Yes,No,2.1,No,4,20,Accident,Yes,Low,0.2,0.49,2.8,
Hill View,19.23676319400188,72.85009632263909,No,Yes,1.3,Yes,1,42,Theft,Yes,Medium,0.8,0.96,4.8,
Western Heights,19.25605708312752,72.85485896838605,No,No,2.7,No,5,25,Burglary,No,High,1.6,2.83,7.3,
SFIT (Via Pai Nagar),19.247796046866725,72.87966715801997,Yes,No,2.5,No,4,43,Vandalism,Yes,High,2.0,3.11,7.2,
Giles Nagar,19.256201458454623,72.86193434009964,No,No,2.2,Yes,3,17,Accident,Yes,High,1.6,2.9,8.5,
Ocean View,19.25022013813902,72.86468553352965,No,Yes,2.6,No,4,47,Chain Snatching,No,Medium,0.2,2.35,5.4,
Richard Nagar,19.237844317019054,72.85720398698162,Yes,Yes,2.3,No,2,11,Vandalism,No,Low,0.2,0.82,4.5,
River Side,19.268938574293788,72.84458823248434,No,No,2.1,No,4,19,Theft,No,Low,1.3,4.43,11.2,
Baker Nagar,19.268233248067077,72.86150871099886,No,Yes,1.1,No,2,1,None,No,High,1.3,4.21,8.5,
Hill View,19.25893626350443,72.86026935456265,Yes,Yes,0.3,Yes,5,35,Accident,Yes,High,0.8,3.17,8.2,
Scott Nagar,19.2636781433546,72.8700076546621,Yes,No,1.8,Yes,1,29,Chain Snatching,No,High,1.4,3.94,10.3,
Ellis Nagar,19.24064838447141,72.85464795717073,No,No,2.7,Yes,1,47,Theft,No,Low,0.4,1.14,3.1,
Shivaji Park,19.251369149395494,72.86986617675072,Yes,Yes,1.3,No,3,8,Accident,Yes,Low,0.1,2.71,6.8,
Ritter Nagar,19.247024895873725,72.84360516989582,No,No,1.6,No,5,15,Burglary,Yes,High,0.2,2.27,5.0,
Smith Nagar,19.242789371271492,72.85919085054819,No,Yes,2.5,No,4,12,Accident,Yes,High,1.6,1.39,5.4,
Anand Nagar,19.24439944097297,72.87464643199193,Yes,Yes,2.0,Yes,5,7,Burglary,Yes,Medium,0.3,2.46,5.6,
Western Heights,19.24104281373289,72.87959640425764,Yes,No,2.4,No,5,8,Chain Snatching,Yes,Low,0.3,2.7,8.3,
Solis Nagar,19.234346521221507,72.8765286337909,No,No,0.1,Yes,1,36,Theft,Yes,Low,0.8,2.16,4.5,
Borivali Station West,19.241484873920037,72.86327138041614,No,Yes,0.2,No,4,37,Chain Snatching,Yes,Medium,1.3,1.41,5.0,"Eksar, Kandarpada, Shimpoli"
Shailendra Nagar,19.26798242966346,72.86339378103855,Yes,No,0.4,Yes,1,11,None,Yes,Low,0.3,4.21,10.1,
Smith Nagar,19.256108224063937,72.842402589023,No,No,1.7,No,5,49,None,Yes,High,0.3,3.19,7.6,
Simmons Nagar,19.26760136553874,72.86857346396874,Yes,Yes,3.0,Yes,1,6,Vandalism,Yes,High,1.7,4.3,10.1,
Solis Nagar,19.256547525498146,72.87181255994724,Yes,No,0.3,No,2,48,Vandalism,No,High,1.3,3.31,7.5,
Scott Nagar,19.257955842905098,72.86571673683135,Yes,No,2.8,No,4,28,Chain Snatching,Yes,High,1.5,3.19,7.5,
Green Valley,19.266438333332378,72.8449888235741,No,No,2.4,Yes,4,1,Theft,Yes,Medium,1.1,4.16,9.6,
Simmons Nagar,19.24860577689281,72.87720475604404,Yes,Yes,0.1,Yes,5,45,Accident,Yes,Medium,1.2,2.97,6.7,
Mandapeshwar,19.25114844081183,72.86425115378552,No,Yes,2.7,No,5,15,Accident,No,High,1.5,2.43,5.4,"Eksar, IC Colony, Shimpoli"
Pearson Nagar,19.237160013933646,72.87192072179684,No,No,0.4,Yes,4,40,Accident,Yes,Low,0.9,1.79,4.6,
Johnston Nagar,19.237522007608863,72.86911445185325,Yes,No,1.5,No,2,20,Chain Snatching,Yes,Medium,0.3,1.55,3.9,
Western Heights,19.236585848472195,72.85081171025314,No,Yes,0.8,No,4,5,Burglary,Yes,Medium,0.9,0.89,3.0,
Dahisar Check Naka,19.25427662038887,72.84724081578159,Yes,No,0.7,No,4,26,None,Yes,Low,1.6,2.8,7.2,
Ward Nagar,19.24482468804869,72.84754875227526,No,Yes,1.2,No,3,3,Chain Snatching,Yes,High,1.8,1.84,4.6,
Kandarpada,19.249022948251504,72.8684509936869,Yes,No,1.8,No,1,22,None,No,Low,0.3,2.41,7.5,"Borivali Station West, Dahisar Check Naka"
Ward Nagar,19.246355187240933,72.84514764841128,No,Yes,0.6,No,2,12,Chain Snatching,No,Medium,0.2,2.12,6.1,
IC Colony,19.25687677392017,72.8541655815451,Yes,Yes,0.5,No,1,40,Accident,Yes,High,0.7,2.93,6.6,"Eksar, Mandapeshwar, Shimpoli"
Royal Palms,19.2640594232458,72.85114875967854,No,No,2.6,Yes,1,13,Chain Snatching,No,Low,2.0,3.76,10.2,
Johnson Nagar,19.246183910773837,72.8693205076521,Yes,Yes,3.0,No,3,43,Chain Snatching,No,Low,0.5,2.2,5.8,
SFIT (Via Eksar Metro),19.23826427042859,72.86612146821862,Yes,No,2.6,Yes,5,21,Chain Snatching,No,High,0.1,1.34,4.8,
Dahanukar Wadi,19.2515622146493,72.84892718082426,Yes,Yes,2.2,Yes,4,26,Burglary,No,Medium,0.7,2.46,6.4,
Lindsey Nagar,19.252267727108663,72.87481070304786,Yes,Yes,2.3,No,5,8,Accident,No,High,1.8,3.09,7.3,
Lindsey Nagar,19.26737664153341,72.85617821338664,No,Yes,1.1,No,5,27,Chain Snatching,Yes,Medium,0.9,4.08,10.2,
Chikuwadi,19.25961244822136,72.87728076385349,Yes,No,0.5,Yes,4,24,Chain Snatching,Yes,Low,0.5,3.9,9.3,
Anand Nagar,19.23940117381601,72.87526546113705,Yes,Yes,0.4,No,5,46,Theft,Yes,High,0.8,2.21,5.1,
Peaceful Valley,19.25368535988537,72.86400423213466,Yes,No,1.4,No,3,30,Accident,No,High,0.8,2.69,7.7,
Shimpoli,19.243342015940744,72.86676145448834,Yes,Yes,2.7,No,5,23,None,No,Medium,2.0,1.79,6.0,"Borivali Station West, Mandapeshwar, IC Colony"
Anand Nagar,19.23076325885105,72.85844293053665,Yes,No,2.4,No,2,17,Chain Snatching,No,Medium,1.3,0.22,3.2,
Eksar,19.253260142063013,72.85646148778059,No,No,1.7,Yes,1,40,Vandalism,No,Medium,1.7,2.52,6.2,"Borivali Station West, Mandapeshwar, IC Colony"
Anand Nagar,19.26994518690597,72.87824710176234,Yes,No,0.2,Yes,4,6,None,No,High,0.3,4.93,11.1,
Ocean View,19.26890749940669,72.84432856047391,Yes,Yes,2.2,Yes,5,26,Burglary,No,High,0.1,4.44,10.0,
Shailendra Nagar,19.253487018737875,72.86386506635688,Yes,No,0.8,Yes,4,31,Vandalism,No,High,0.4,2.66,8.2,
Baker Nagar,19.250601945739245,72.85540260440031,Yes,Yes,2.2,Yes,4,29,Chain Snatching,No,Low,1.5,2.23,5.2,
Green Acres,19.26564190494649,72.84603197788624,No,No,0.9,No,5,23,Vandalism,No,High,1.1,4.04,10.0,
Dahanukar Wadi,19.266996150294663,72.8792530570867,Yes,No,0.4,Yes,2,19,Theft,No,Medium,1.1,4.7,10.1,
Rawalpada,19.232723101707155,72.84976532341732,No,Yes,1.8,Yes,1,33,Chain Snatching,Yes,Medium,1.8,0.74,1.7,
Eksar,19.25851312918784,72.86864043335595,No,Yes,0.1,No,1,31,Theft,Yes,High,1.1,3.36,8.3,"Borivali Station West, Mandapeshwar, IC Colony"
Silver Oaks,19.264690146167613,72.8730222385648,Yes,Yes,0.5,Yes,5,5,Vandalism,Yes,High,0.4,4.17,8.4,
Shivdham,19.235943334382952,72.85506373387398,Yes,No,0.6,Yes,2,50,Chain Snatching,Yes,Medium,0.6,0.62,1.3,
Mountain View,19.26187811587,72.87258844935766,No,No,1.5,Yes,2,32,Accident,No,High,1.8,3.87,8.3,
Rawalpada,19.26867920565309,72.84594821930007,Yes,No,2.0,No,4,32,Vandalism,No,Medium,1.0,4.37,11.4,
Johnston Nagar,19.268281302038528,72.8653427766595,Yes,Yes,1.2,Yes,2,3,Accident,Yes,Low,0.4,4.29,9.6,
Green Acres,19.249750450372407,72.86873337953224,Yes,Yes,1.7,No,2,48,Vandalism,No,High,0.3,2.49,5.7,
Green Acres,19.25848850285752,72.86624843979126,Yes,Yes,0.2,Yes,2,39,Chain Snatching,Yes,Medium,1.2,3.27,8.0,
Richard Nagar,19.261944484431943,72.85857503686297,Yes,Yes,2.8,Yes,1,14,Chain Snatching,No,High,0.3,3.49,8.0,
Pearson Nagar,19.2400832236036,72.87681862956406,No,Yes,2.3,Yes,1,26,None,No,Low,1.1,2.39,6.9,
Solis Nagar,19.269922306951848,72.84031450340234,No,No,0.4,No,5,33,Vandalism,Yes,Low,1.0,4.68,12.1,
Green Woods,19.25642309644989,72.87207290876985,Yes,No,2.2,No,5,19,Burglary,No,High,0.7,3.31,8.9,
Patterson Nagar,19.23863456708387,72.85060777969512,Yes,Yes,0.5,Yes,2,28,Chain Snatching,No,High,2.0,1.09,3.3,
Richard Nagar,19.24903533187832,72.87447297943113,Yes,No,1.7,No,4,21,Accident,Yes,Medium,0.8,2.8,7.5,
Golden Nest,19.26334790660486,72.87900591873438,Yes,No,0.4,Yes,1,2,Accident,Yes,Medium,1.5,4.34,10.4,
SFIT (Via Eksar Metro),19.253156971126334,72.8767654362034,No,No,2.0,Yes,3,12,Chain Snatching,No,Medium,1.7,3.3,9.4,
Gorai,19.25814271613328,72.86187579183529,Yes,No,1.2,No,2,40,None,Yes,High,0.1,3.11,8.7,
Ward Nagar,19.235314757780117,72.87999679721558,No,Yes,0.8,Yes,4,3,Accident,No,High,1.7,2.54,6.0,
Anand Nagar,19.240701567770465,72.84178229823658,No,No,0.4,No,1,43,Accident,Yes,High,0.8,1.91,6.6,
Padilla Nagar,19.256333540176893,72.85301815511559,Yes,Yes,2.0,No,5,6,None,Yes,High,1.2,2.88,7.6,
Dahanukar Wadi,19.24644784578756,72.84959314181158,Yes,Yes,0.4,No,3,8,Accident,Yes,Medium,1.7,1.9,4.4,
Lake View,19.25076107237754,72.8566715288166,No,Yes,2.4,Yes,1,24,Theft,Yes,Low,2.0,2.24,7.2,
Western Heights,19.252560574405383,72.84943739525045,Yes,Yes,1.3,No,3,20,Theft,Yes,Medium,0.9,2.55,7.9,
Mandapeshwar,19.24609198981304,72.8609732661258,Yes,No,2.9,No,2,33,Chain Snatching,Yes,Medium,1.1,1.79,5.3,"Eksar, IC Colony, Shimpoli"
Long Nagar,19.261884363804757,72.8632685843395,Yes,No,2.8,No,3,18,Burglary,Yes,Low,1.6,3.55,7.3,
Silver Oaks,19.24126781945556,72.87705151302889,Yes,Yes,1.2,Yes,5,34,Burglary,No,Medium,1.4,2.48,5.4,
